product_id,domain,impersonate,url,http_status,success,name,sku,price,currency,image,category,description,error
100065,www.glamira.cn,edge101,https://www.glamira.cn/catalog/product/view/id/100065,200,True,女士耳环 Anark,,,,https://cdn.glamira.cn/media/product/newgeneration/view/1/sku/Anark/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg,,现在GLAMIRA.cn网站购买 0.14 重量 圆形 白色K金-14k 实验室培育钻石 女士耳环 Anark 即可免运费！,
100074,www.glamira.cn,safari180,https://www.glamira.cn/catalog/product/view/id/100074,200,True,女士耳环 Barika,,,,https://cdn.glamira.cn/media/product/newgeneration/view/1/sku/barika-new/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,,现在GLAMIRA.cn网站购买 0.2 重量 圆形 白色K金-14k 钻石 - 宝石 女士耳环 Barika 即可免运费！,
100057,www.glamira.com.tr,firefox144,https://www.glamira.com.tr/catalog/product/view/id/100057,200,True,Kadın Küpe Akdes,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Akdes/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,,Kadın Küpe Akdes 9 Ayar Beyaz Altın - Pırlanta modelini kendi zevkinize göre tasarlayın. Sipariş üzerine özenle üretilir. 60 gün iade hakkı ve güvenli alışveriş güvencesi.,
100079,www.glamira.cn,chrome124,https://www.glamira.cn/catalog/product/view/id/100079,200,True,女士耳环 Berceste,,,,https://cdn.glamira.cn/media/product/newgeneration/view/1/sku/berceste11/diamond/sapphire_AA/stone2/diamond-zirconia_AAAAA/alloycolour/white.jpg,,现在GLAMIRA.cn网站购买 1 重量 圆形 白色K金-14k 蓝宝石 女士耳环 Berceste 即可免运费！,
100082,www.glamira.com.tr,safari184,https://www.glamira.com.tr/catalog/product/view/id/100082,200,True,Kadın Küpe Binzet,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Binzet/diamond/sapphire_AAA/stone2/diamond-zirconia_AAAAA/alloycolour/white.jpg,,Kadın Küpe Binzet 9 Ayar Beyaz Altın - Safir - Zirkonya modelini kendi zevkinize göre tasarlayın. Sipariş üzerine özenle üretilir. 60 gün iade hakkı ve güvenli alışveriş güvencesi.,
100080,www.glamira.ie,firefox144,https://www.glamira.ie/catalog/product/view/id/100080,200,True,Women's Earring Besalet,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Besalet/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg,,Purchase 0.32 Carat Round cut 14ct White Gold Lab Grown Diamond Women's Earring Besalet now at GLAMIRA ✓High quality jewellery ☆Personalise and buy your own,
100091,www.glamira.sg,chrome120,https://www.glamira.sg/catalog/product/view/id/100091,200,True,Women's Earring Demhosie,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Demhosie/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,,Women's Earring Demhosie in 0.06 Carat Round cut 14ct White Gold Diamond at GLAMIRA | Online Shopping | Free Engraving | Finest Jewellery | Free Shipping,
100077,www.glamira.com.uy,chrome120,https://www.glamira.com.uy/catalog/product/view/id/100077,200,True,Pendiente de mujer Bedirnisa,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Bedirnisa/diamond/amethyst_AAA/alloycolour/white.jpg,,Compre su Pendiente de mujer Bedirnisa en corte Redondo 0.2 Quilates Plata 925 Amatista online en GLAMIRA. ✓Política de devoluciones de 60 días ☆Personalícelo y pídalo ahora.,
100085,www.glamira.cn,firefox135,https://www.glamira.cn/catalog/product/view/id/100085,200,True,女士耳环 Canel,,,,https://cdn.glamira.cn/media/product/newgeneration/view/1/sku/Canel-1/diamond/emerald_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,,现在GLAMIRA.cn网站购买 0.06 重量 圆形 白-银 绿宝石 女士耳环 Canel 即可免运费！,
100090,www.glamira.ie,firefox133,https://www.glamira.ie/catalog/product/view/id/100090,200,True,Women's Earring Delbar,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Delbar/diamond/diamond-Brillant_AA/stone2/diamond-Brillant_AAA/alloycolour/yellow_white.jpg,,Purchase 0.5 Carat Round cut 9ct Yellow & White Gold Diamond Women's Earring Delbar now at GLAMIRA ✓High quality jewellery ☆Personalise and buy your own,
